taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls
,Public,noCharger,non-res,,,-122.3360011,47.60933772550004,529769,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3254667,47.60717047700005,529776,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3511306,47.61787395600003,529779,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3477249,47.61822529150007,529845,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3206346,47.60512021850004,529849,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3344139,47.60760351450003,529892,Any,Block,0,6
,Public,noCharger,non-res,,,-122.329242,47.60458957250006,529896,Any,Block,0,2
,Public,noCharger,non-res,,,-122.340972,47.61421031200004,530105,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3343387,47.60345336000006,530123,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3262844,47.59691110900005,530130,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3284186,47.60706052350005,530188,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3277554,47.60031446650004,530211,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3364776,47.60985866600004,530227,Any,Block,0,6
,Public,noCharger,non-res,,,-122.348373,47.61741219050006,530229,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3262675,47.600138816000054,530232,Any,Block,0,2
,Public,noCharger,non-res,,,-122.326266,47.60054727900007,530236,Any,Block,0,2
