carrierId,tourId,vehicleId,vehicleTypeId,depotZone,depotX,depotY,mesoZone
68299401-1408md-d,b2b-5672,68299401-1408md-d-c33-155548,md-D-Diesel-2018-Baseline,2349,-121.17189177897856,47.67764726349073,14.0
68299411-1409md-d,b2b-5673,68299411-1409md-d-c33-155575,md-D-Diesel-2018-Baseline,2349,-121.17189177897856,47.67764726349073,8.0
68299413-1410hdv-d,b2b-5674,68299413-1410hdv-d-c33-155602,hdv-D-Diesel-2018-Baseline,2349,-121.17189177897856,47.67764726349073,8.0
68299421-1411md-d,b2b-5675,68299421-1411md-d-c33-155603,md-D-Diesel-2018-Baseline,2128,-121.39296059311314,47.282192691963054,42.0
68299421-1411md-d,b2b-5676,68299421-1411md-d-c33-155629,md-D-Diesel-2018-Baseline,2128,-121.39296059311314,47.282192691963054,42.0
68299421-1411md-d,b2b-5677,68299421-1411md-d-c33-155627,md-D-Diesel-2018-Baseline,2128,-121.39296059311314,47.282192691963054,42.0
68299421-1412md-d,b2b-5678,68299421-1412md-d-c33-155656,md-D-Diesel-2018-Baseline,2128,-121.39296059311314,47.282192691963054,42.0
68299421-1412md-d,b2b-5679,68299421-1412md-d-c33-155655,md-D-Diesel-2018-Baseline,2128,-121.39296059311314,47.282192691963054,42.0
68299431-1413md-d,b2b-5680,68299431-1413md-d-c33-155683,md-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,793.0
68299433-1414hdv-d,b2b-5681,68299433-1414hdv-d-c33-155710,hdv-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,793.0
68299433-1414hdv-d,b2b-5682,68299433-1414hdv-d-c33-155709,hdv-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,793.0
68299441-1415md-d,b2b-5683,68299441-1415md-d-c33-155711,md-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,796.0
68299441-1415md-d,b2b-5684,68299441-1415md-d-c33-155737,md-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,796.0
68299441-1415md-d,b2b-5685,68299441-1415md-d-c33-155735,md-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,796.0
68299441-1416md-d,b2b-5686,68299441-1416md-d-c33-155764,md-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,796.0
68299443-1417hdv-d,b2b-5687,68299443-1417hdv-d-c33-155791,hdv-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,796.0
68299443-1417hdv-d,b2b-5688,68299443-1417hdv-d-c33-155790,hdv-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,796.0
68299443-1418hdv-d,b2b-5689,68299443-1418hdv-d-c33-155818,hdv-D-Diesel-2018-Baseline,2461,-122.84344317503232,47.573066437800776,796.0
