taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls,timeRestrictions
,Public,NoCharger,non-res,,,-122.3327302,47.602682,520871,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3526651,47.6252219,520895,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3195211,47.6127652,520917,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3554977,47.6240252,520937,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3422281,47.6118995,520940,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3343545,47.6041507,520977,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3309623,47.6007355,520990,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194675,47.6205074,521039,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3430151,47.6135475,521041,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3195572,47.614648,521044,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3360232,47.6059698,521058,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3303484,47.6010699,521064,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3547808,47.6183577,521101,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3438164,47.6140176,521127,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3464989,47.6158186,521137,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3475284,47.6164271,521157,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3127189,47.6224765,521195,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3495438,47.6176184,521232,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3455387,47.6152503,521254,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3494943,47.6162129,521273,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3412437,47.6100302,521330,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3338336,47.6035759,521340,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3385338,47.6073388,521341,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3388658,47.609077,521345,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3440842,47.6144017,521354,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3594266,47.620375,521389,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3593882,47.6227607,521390,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3441952,47.6119136,521393,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.360544,47.6250019,521395,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3429172,47.6113615,521405,Any,Block,0.0,1.0,
