"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(25, 30]","(-20, -19]","(20861.678, 21315.193]",-9.80080463911816
"(25, 30]","(-20, -19]","(21315.193, 21768.707]",-9.80080463911816
"(25, 30]","(-20, -19]","(21768.707, 22222.222]",-9.87729458050225
"(25, 30]","(-20, -19]","(22222.222, 22675.737]",-9.87729458050225
"(25, 30]","(-20, -19]","(22675.737, 23129.252]",-9.87729458050225
"(25, 30]","(-20, -19]","(23129.252, 23582.766]",-9.84061769549959
"(25, 30]","(-20, -19]","(23582.766, 24036.281]",-9.84061769549959
"(25, 30]","(-20, -19]","(24036.281, 24489.796]",-9.84061769549959
"(25, 30]","(-20, -19]","(24489.796, 24943.311]",-9.84061769549959
"(25, 30]","(-20, -19]","(24943.311, 25396.825]",-9.84061769549959
"(25, 30]","(-20, -19]","(25396.825, 25850.34]",-9.84061769549959
"(25, 30]","(-20, -19]","(25850.34, 26303.855]",-9.84061769549959
"(25, 30]","(-20, -19]","(26303.855, 26757.37]",-10.0205110995487
"(25, 30]","(-20, -19]","(26757.37, 27210.884]",-10.0205110995487
"(25, 30]","(-20, -19]","(27210.884, 27664.399]",-10.0205110995487
"(25, 30]","(-20, -19]","(27664.399, 28117.914]",-10.0205110995487
"(25, 30]","(-20, -19]","(28117.914, 28571.429]",-10.0205110995487
"(25, 30]","(-20, -19]","(28571.429, 29024.943]",-10.0205110995487
"(25, 30]","(-20, -19]","(29024.943, 29478.458]",-10.0205110995487
"(25, 30]","(-20, -19]","(29478.458, 29931.973]",-10.0205110995487
"(25, 30]","(-20, -19]","(29931.973, 30385.488]",-10.0205110995487
"(25, 30]","(-20, -19]","(30385.488, 30839.002]",-10.0205110995487
"(25, 30]","(-20, -19]","(30839.002, 31292.517]",-10.0205110995487
"(25, 30]","(-20, -19]","(31292.517, 31746.032]",-10.0205110995487
"(25, 30]","(-20, -19]","(31746.032, 32199.546]",-10.0205110995487
"(25, 30]","(-20, -19]","(32199.546, 32653.061]",-10.0205110995487
"(25, 30]","(-20, -19]","(32653.061, 33106.576]",-10.0205110995487
"(25, 30]","(-20, -19]","(33106.576, 33560.091]",-10.0205110995487
"(25, 30]","(-20, -19]","(33560.091, 34013.605]",-10.2298895768091
"(25, 30]","(-20, -19]","(34013.605, 34467.12]",-10.2298895768091
"(25, 30]","(-20, -19]","(34467.12, 34920.635]",-10.543627638753
"(25, 30]","(-20, -19]","(34920.635, 35374.15]",-10.543627638753
"(25, 30]","(-20, -19]","(35374.15, 35827.664]",-10.543627638753
"(25, 30]","(-20, -19]","(35827.664, 36281.179]",-10.543627638753
"(30, 35]","(-20, -19]","(11337.868, 11791.383]",-7.61336836710941
